Zona,Area,Qualidade,AnoConstrucao,QualidadeAquecimento,Banheiros,Quartos_t1,Quartos_t2,Comodos,Lareiras,Garagem,Preco
RL,9600.0,6,1976.0,Ex,2.0,3.0,4.0,6.0,1.0,2.0,181500.0
RL,8246.0,5,1968.0,Ex,1.0,3.0,4.0,6.0,1.0,1.0,154000.0
RL,11049.0,8,2007.0,Ex,2.0,3.0,4.0,7.0,0.0,2.0,179900.0
RL,8532.0,5,1954.0,Gd,1.0,3.0,4.0,5.0,1.0,2.0,153000.0
RL,8658.0,6,1965.0,Ex,2.0,3.0,4.0,6.0,1.0,2.0,160000.0
RL,10175.0,6,1964.0,Gd,2.0,3.0,4.0,7.0,1.0,2.0,180500.0
RL,11645.0,7,2004.0,Ex,2.0,3.0,4.0,7.0,0.0,2.0,196500.0
RL,10141.0,7,1998.0,Gd,2.0,3.0,4.0,7.0,1.0,2.0,185000.0
RL,8530.0,7,1995.0,Gd,2.0,3.0,4.0,7.0,1.0,2.0,168500.0
RL,9765.0,6,1993.0,Gd,2.0,3.0,4.0,6.0,1.0,2.0,185000.0
RL,9206.0,6,1985.0,TA,2.0,3.0,4.0,7.0,1.0,2.0,178000.0
RL,10402.0,7,2009.0,Ex,2.0,3.0,4.0,6.0,0.0,3.0,198900.0
RL,11751.0,6,1977.0,Ex,2.0,3.0,4.0,7.0,1.0,2.0,190000.0
RL,7750.0,7,2000.0,Ex,2.0,3.0,4.0,7.0,1.0,2.0,180000.0
RL,8536.0,5,2006.0,Gd,1.0,2.0,3.0,5.0,0.0,2.0,155000.0
RL,8461.0,6,2005.0,Ex,2.0,3.0,4.0,8.0,1.0,2.0,163990.0
RL,7892.0,6,1993.0,Ex,2.0,2.0,3.0,5.0,0.0,2.0,153900.0
RL,7590.0,6,1966.0,TA,1.0,3.0,4.0,6.0,1.0,2.0,155000.0
RL,10335.0,5,1968.0,Gd,2.0,3.0,4.0,7.0,1.0,2.0,180000.0
RL,10400.0,7,1970.0,Gd,2.0,3.0,4.0,7.0,1.0,2.0,174000.0
RL,8244.0,7,2004.0,Ex,2.0,3.0,4.0,7.0,1.0,2.0,183500.0
RL,10197.0,6,1961.0,TA,1.0,3.0,4.0,6.0,1.0,2.0,163000.0
RM,11426.0,7,2003.0,Ex,2.0,3.0,4.0,6.0,0.0,2.0,200000.0
RL,9947.0,7,1990.0,Ex,2.0,3.0,4.0,6.0,0.0,2.0,173000.0
RL,9017.0,7,1999.0,Ex,2.0,3.0,4.0,6.0,0.0,2.0,192000.0
RL,10125.0,6,1977.0,TA,2.0,3.0,4.0,6.0,2.0,2.0,171500.0
RL,10420.0,6,2009.0,Ex,2.0,3.0,4.0,6.0,0.0,2.0,186000.0
RL,10900.0,6,1977.0,Ex,1.0,3.0,4.0,6.0,0.0,1.0,161750.0
RL,11475.0,6,1975.0,TA,2.0,3.0,4.0,6.0,1.0,2.0,179900.0
RL,8773.0,7,2004.0,Ex,2.0,3.0,4.0,6.0,0.0,2.0,185500.0
RL,9453.0,7,1993.0,Ex,2.0,3.0,4.0,7.0,0.0,2.0,194500.0
RL,11317.0,7,2003.0,Ex,2.0,3.0,4.0,8.0,0.0,2.0,180000.0
RL,8366.0,6,2004.0,Ex,2.0,3.0,4.0,6.0,0.0,2.0,173000.0
RL,9350.0,6,1964.0,Ex,2.0,3.0,4.0,7.0,0.0,1.0,158000.0
RL,11207.0,6,1997.0,Gd,2.0,3.0,4.0,8.0,1.0,2.0,185000.0
RL,8012.0,6,1992.0,Gd,2.0,2.0,3.0,5.0,0.0,2.0,179200.0
RL,9786.0,6,1962.0,TA,1.0,3.0,4.0,7.0,1.0,2.0,159000.0
RL,9600.0,6,1953.0,TA,1.0,3.0,4.0,7.0,2.0,2.0,167000.0
RL,7685.0,6,1993.0,Gd,2.0,3.0,4.0,6.0,1.0,2.0,165600.0
RL,7795.0,7,2004.0,Ex,2.0,3.0,4.0,6.0,1.0,2.0,188500.0
RL,9042.0,6,1998.0,Gd,2.0,3.0,4.0,7.0,2.0,2.0,192000.0
RL,11249.0,6,1995.0,Ex,2.0,3.0,4.0,6.0,0.0,2.0,177500.0
RL,9248.0,6,1992.0,Gd,2.0,3.0,4.0,6.0,0.0,2.0,173000.0
RL,7540.0,6,1978.0,Ex,1.0,2.0,3.0,5.0,1.0,2.0,156000.0
RL,9500.0,6,1963.0,Gd,1.0,3.0,4.0,6.0,2.0,2.0,159000.0
RL,9150.0,6,1962.0,Gd,1.0,3.0,4.0,6.0,1.0,1.0,165000.0
RL,9830.0,5,1959.0,Ex,1.0,3.0,4.0,7.0,1.0,2.0,162000.0
RL,8121.0,6,2000.0,Ex,2.0,3.0,4.0,7.0,1.0,2.0,172400.0
RL,8123.0,6,2000.0,Ex,2.0,3.0,4.0,7.0,1.0,2.0,179000.0
RL,9382.0,7,1999.0,Ex,2.0,3.0,4.0,6.0,0.0,2.0,191000.0
RL,8767.0,7,2005.0,Ex,2.0,3.0,4.0,6.0,1.0,2.0,164990.0
RL,10364.0,6,1995.0,Gd,2.0,3.0,4.0,7.0,1.0,2.0,168000.0
RL,8899.0,7,2007.0,Ex,2.0,3.0,4.0,6.0,0.0,2.0,181134.0
RL,11457.0,6,1988.0,TA,2.0,3.0,4.0,6.0,1.0,2.0,175000.0
RL,10839.0,6,1997.0,Ex,2.0,3.0,4.0,7.0,1.0,2.0,181000.0
RL,9600.0,7,1973.0,Fa,1.0,3.0,4.0,6.0,1.0,2.0,175500.0
RL,10628.0,7,1970.0,TA,1.0,2.0,3.0,5.0,1.0,2.0,167000.0
RL,9291.0,6,1993.0,Ex,2.0,3.0,4.0,7.0,0.0,2.0,187000.0
RL,11952.0,7,1977.0,TA,2.0,3.0,4.0,8.0,1.0,2.0,190000.0
RL,10289.0,5,1965.0,TA,1.0,3.0,4.0,6.0,0.0,2.0,156000.0
RL,7931.0,5,1960.0,TA,1.0,3.0,4.0,6.0,1.0,1.0,155000.0
RL,10448.0,6,1972.0,TA,2.0,3.0,4.0,7.0,1.0,2.0,158000.0
RL,10200.0,6,1988.0,Ex,2.0,3.0,4.0,5.0,1.0,2.0,175000.0
RL,9056.0,8,2004.0,Ex,2.0,3.0,4.0,6.0,1.0,2.0,178000.0
RL,8924.0,7,1998.0,Ex,2.0,3.0,4.0,8.0,0.0,2.0,188000.0
RL,10010.0,5,1974.0,Gd,1.0,2.0,3.0,6.0,1.0,2.0,170000.0
RL,9967.0,7,2000.0,Ex,2.0,3.0,4.0,8.0,1.0,2.0,170000.0
RL,8320.0,7,2004.0,Ex,2.0,3.0,4.0,6.0,0.0,2.0,185900.0
RL,7861.0,6,2002.0,Ex,2.0,3.0,4.0,7.0,1.0,2.0,183200.0
RL,10000.0,6,1962.0,TA,1.0,3.0,4.0,5.0,0.0,2.0,160000.0
RL,9600.0,6,1955.0,Ex,1.0,3.0,4.0,7.0,2.0,1.0,153000.0
RL,9020.0,6,1964.0,TA,1.0,3.0,4.0,6.0,0.0,2.0,168500.0
RL,10452.0,6,1953.0,Ex,1.0,3.0,4.0,5.0,2.0,2.0,155000.0
RL,8750.0,7,1996.0,Ex,2.0,2.0,3.0,7.0,1.0,2.0,191000.0
RL,9937.0,5,1964.0,Ex,1.0,3.0,4.0,7.0,0.0,2.0,167000.0
RL,12384.0,7,1976.0,TA,2.0,3.0,4.0,7.0,1.0,2.0,197900.0
RL,8125.0,6,1994.0,Ex,2.0,3.0,4.0,7.0,1.0,2.0,193500.0
RL,8633.0,6,2005.0,Ex,2.0,3.0,4.0,7.0,0.0,2.0,173500.0
RL,7577.0,6,2005.0,Ex,2.0,2.0,3.0,6.0,1.0,2.0,194700.0
