Zona,Area,Qualidade,AnoConstrucao,QualidadeAquecimento,Banheiros,Quartos_t1,Quartos_t2,Comodos,Lareiras,Garagem,Preco
RL,11200.0,5,1965.0,Ex,1.0,3.0,4.0,5.0,0.0,1.0,129500.0
RL,7560.0,5,1958.0,TA,1.0,3.0,4.0,6.0,0.0,1.0,139000.0
RL,7200.0,5,1951.0,TA,1.0,3.0,4.0,5.0,0.0,2.0,134800.0
RL,8544.0,5,1966.0,Gd,1.0,3.0,4.0,6.0,0.0,1.0,149350.0
RL,10859.0,5,1994.0,Ex,1.0,3.0,4.0,6.0,0.0,2.0,145000.0
RL,7922.0,5,1953.0,TA,1.0,3.0,4.0,5.0,0.0,1.0,109000.0
RL,9180.0,5,1983.0,Gd,1.0,2.0,3.0,5.0,0.0,2.0,144000.0
RL,9200.0,5,1975.0,TA,1.0,3.0,4.0,5.0,0.0,1.0,130250.0
RL,7945.0,5,1959.0,Ex,1.0,3.0,4.0,6.0,0.0,1.0,141000.0
RL,7742.0,5,1966.0,Ex,1.0,3.0,4.0,6.0,0.0,1.0,127000.0
RL,7134.0,5,1955.0,TA,1.0,3.0,4.0,6.0,1.0,2.0,130000.0
RL,7200.0,5,1972.0,Ex,1.0,2.0,3.0,4.0,0.0,1.0,124900.0
RL,7599.0,4,1982.0,TA,1.0,2.0,3.0,4.0,0.0,2.0,129500.0
RL,10200.0,5,1954.0,Gd,1.0,3.0,4.0,6.0,0.0,2.0,144900.0
RL,8475.0,4,1956.0,Ex,1.0,2.0,3.0,4.0,0.0,1.0,135750.0
RM,8635.0,5,1948.0,TA,1.0,2.0,3.0,6.0,0.0,1.0,127000.0
RL,8892.0,5,1960.0,Gd,1.0,3.0,4.0,6.0,0.0,2.0,126500.0
RL,8070.0,4,1994.0,Ex,1.0,3.0,4.0,5.0,0.0,0.0,123600.0
RL,7200.0,4,1950.0,TA,1.0,2.0,3.0,4.0,0.0,2.0,109900.0
RL,8500.0,5,1961.0,TA,1.0,2.0,3.0,6.0,0.0,2.0,98600.0
RL,10921.0,4,1965.0,TA,1.0,3.0,4.0,6.0,0.0,1.0,94750.0
RL,9320.0,4,1959.0,Fa,1.0,3.0,4.0,6.0,0.0,0.0,128950.0
RL,11616.0,5,1962.0,TA,1.0,3.0,4.0,6.0,1.0,1.0,139000.0
RL,9464.0,6,1958.0,Gd,1.0,3.0,4.0,5.0,0.0,1.0,136000.0
RL,8973.0,5,1958.0,TA,1.0,3.0,4.0,6.0,0.0,2.0,150000.0
RL,7388.0,5,1959.0,Gd,1.0,3.0,4.0,7.0,0.0,2.0,150750.0
RL,10355.0,5,1967.0,TA,2.0,3.0,4.0,5.0,1.0,1.0,143000.0
RL,10500.0,4,1971.0,TA,1.0,3.0,4.0,5.0,1.0,0.0,115000.0
RL,7500.0,7,2004.0,Ex,1.0,3.0,4.0,6.0,0.0,0.0,141000.0
RL,10356.0,5,1975.0,TA,1.0,3.0,4.0,5.0,0.0,2.0,122000.0
RL,7200.0,5,1950.0,TA,1.0,2.0,3.0,5.0,0.0,2.0,109500.0
RM,12358.0,5,1941.0,TA,1.0,2.0,3.0,7.0,0.0,2.0,128500.0
RL,9060.0,5,1957.0,Ex,1.0,3.0,4.0,7.0,1.0,1.0,120000.0
RL,7180.0,5,1972.0,TA,1.0,3.0,4.0,5.0,0.0,1.0,127000.0
RM,8546.0,4,2003.0,Ex,2.0,2.0,3.0,5.0,0.0,2.0,140000.0
RL,8250.0,6,1964.0,Ex,1.0,3.0,4.0,6.0,0.0,2.0,145000.0
RL,10011.0,5,1957.0,TA,1.0,2.0,3.0,6.0,1.0,1.0,134450.0
RL,10500.0,4,1971.0,Gd,1.0,2.0,3.0,4.0,0.0,2.0,97000.0
RL,8521.0,5,1967.0,TA,1.0,3.0,4.0,5.0,1.0,1.0,125000.0
RL,8760.0,6,1959.0,TA,1.0,3.0,4.0,6.0,0.0,1.0,148000.0
RL,10650.0,5,1976.0,TA,1.0,3.0,4.0,5.0,0.0,1.0,128200.0
RL,8741.0,6,1945.0,TA,1.0,3.0,4.0,7.0,1.0,1.0,113000.0
RL,10762.0,6,1980.0,TA,1.0,3.0,4.0,6.0,1.0,1.0,120000.0
RL,11310.0,6,1954.0,Ex,1.0,2.0,3.0,5.0,1.0,2.0,140000.0
RL,8400.0,5,1957.0,TA,1.0,3.0,4.0,5.0,0.0,1.0,145000.0
RM,12702.0,5,1956.0,Gd,1.0,2.0,3.0,4.0,0.0,1.0,97000.0
RL,8471.0,6,1977.0,TA,1.0,3.0,4.0,6.0,1.0,2.0,151000.0
RM,6900.0,5,1940.0,Ex,1.0,2.0,3.0,4.0,1.0,1.0,120500.0
RL,7917.0,6,1976.0,TA,1.0,3.0,4.0,6.0,1.0,1.0,148000.0
RL,9600.0,6,1958.0,Gd,2.0,3.0,4.0,6.0,1.0,1.0,139000.0
RL,8314.0,5,1982.0,TA,1.0,2.0,3.0,5.0,0.0,1.0,124500.0
RL,8125.0,4,1971.0,TA,1.0,3.0,4.0,5.0,0.0,0.0,88000.0
RL,9819.0,5,1967.0,TA,1.0,3.0,4.0,5.0,0.0,1.0,122000.0
RL,11409.0,5,1949.0,Gd,1.0,3.0,4.0,8.0,1.0,1.0,131000.0
RL,7937.0,6,1984.0,TA,1.0,3.0,4.0,6.0,0.0,2.0,142500.0
RL,9800.0,5,1972.0,TA,1.0,3.0,4.0,5.0,0.0,2.0,149900.0
RL,12342.0,4,1940.0,Ex,1.0,1.0,2.0,4.0,0.0,2.0,82500.0
RL,8000.0,6,1948.0,Ex,1.0,2.0,3.0,5.0,1.0,1.0,132000.0
RL,8176.0,5,1958.0,Fa,1.0,3.0,4.0,6.0,0.0,1.0,139000.0
